"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","805.00","810.00","813.00","799.00","83.48K","-0.62%"
"03/24/2026","810.00","810.00","810.00","810.00","656.51K","0.00%"
"03/23/2026","810.00","810.00","810.00","810.00","4.16M","0.00%"
"03/18/2026","810.00","810.00","810.00","810.00","75.24M","0.00%"
"03/17/2026","810.00","802.90","810.00","810.00","2.78M","0.88%"
"03/16/2026","802.90","794.90","802.90","802.90","1.51M","1.01%"
"03/13/2026","794.90","810.00","794.90","794.90","3.70M","-1.86%"
"03/12/2026","810.00","810.00","810.00","810.00","26.89M","0.00%"
"03/11/2026","810.00","815.00","810.00","810.00","2.43M","-0.61%"
"03/10/2026","815.00","815.00","815.00","815.00","1.28M","0.00%"
"03/09/2026","815.00","815.00","815.00","815.00","810.89K","0.00%"
"03/06/2026","815.00","810.00","815.00","815.00","930.42K","0.62%"
"03/05/2026","810.00","809.90","810.00","809.90","1.43M","0.01%"
"03/04/2026","809.90","809.90","809.90","809.90","1.40M","0.00%"
"03/03/2026","809.90","809.90","809.90","809.90","2.12M","0.00%"
"03/02/2026","809.90","779.00","809.90","809.90","4.30M","3.97%"
"02/27/2026","779.00","829.50","779.00","763.00","1.60M","-6.09%"
"02/26/2026","829.50","829.50","829.50","829.50","461.89K","0.00%"
"02/25/2026","829.50","829.50","829.50","829.50","632.59K","0.00%"
"02/24/2026","829.50","799.90","829.50","790.00","4.13M","3.70%"
"02/23/2026","799.90","799.90","799.90","799.90","1.72M","0.00%"
"02/20/2026","799.90","799.90","799.90","799.90","445.89K","0.00%"
"02/19/2026","799.90","799.90","799.90","799.90","953.26K","0.00%"
"02/18/2026","799.90","799.90","799.90","799.90","1.45M","0.00%"
"02/17/2026","799.90","798.60","799.90","799.90","2.49M","0.16%"
"02/16/2026","798.60","726.30","798.60","779.80","2.27M","9.95%"
"02/13/2026","726.30","726.30","726.30","726.30","425.15K","0.00%"
"02/12/2026","726.30","739.90","726.30","726.30","1.99M","-1.84%"
"02/11/2026","739.90","739.90","739.90","739.90","2.01M","0.00%"
"02/10/2026","739.90","739.90","739.90","739.90","812.37K","0.00%"
"02/09/2026","739.90","680.00","739.90","710.00","1.79M","8.81%"
