"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","6.00","6.00","6.00","6.00","823.35K","0.00%"
"03/24/2026","6.00","6.00","6.04","6.00","2.01M","0.00%"
"03/23/2026","6.00","6.15","6.00","5.75","3.18M","-2.44%"
"03/18/2026","6.15","6.18","6.15","6.15","1.15M","-0.49%"
"03/17/2026","6.18","6.18","6.18","5.85","2.70M","0.00%"
"03/16/2026","6.18","6.31","6.40","6.00","3.38M","-2.06%"
"03/13/2026","6.31","6.27","6.84","6.30","8.94M","0.64%"
"03/12/2026","6.27","5.70","6.27","5.55","3.65M","10.00%"
"03/11/2026","5.70","6.00","6.00","5.50","3.36M","-5.00%"
"03/10/2026","6.00","6.00","6.00","5.50","2.40M","0.00%"
"03/09/2026","6.00","6.00","6.00","5.75","3.04M","0.00%"
"03/06/2026","6.00","5.80","6.10","5.70","5.23M","3.45%"
"03/05/2026","5.80","6.07","5.99","5.80","3.36M","-4.45%"
"03/04/2026","6.07","6.25","6.34","6.05","3.51M","-2.88%"
"03/03/2026","6.25","6.00","6.43","6.00","3.48M","4.17%"
"03/02/2026","6.00","6.00","6.00","6.00","1.98M","0.00%"
"02/27/2026","6.00","6.05","6.65","6.00","6.50M","-0.83%"
"02/26/2026","6.05","5.50","6.05","6.05","3.29M","10.00%"
"02/25/2026","5.50","6.00","6.00","5.45","4.87M","-8.33%"
"02/24/2026","6.00","6.43","6.50","6.00","7.58M","-6.69%"
"02/23/2026","6.43","6.43","6.98","6.43","4.45M","0.00%"
"02/20/2026","6.43","5.85","6.43","6.35","4.40M","9.91%"
"02/19/2026","5.85","6.35","6.36","5.75","5.86M","-7.87%"
"02/18/2026","6.35","6.48","6.48","6.35","3.42M","-2.01%"
"02/17/2026","6.48","6.48","6.70","6.40","5.74M","0.00%"
"02/16/2026","6.48","6.60","6.98","6.48","4.75M","-1.82%"
"02/13/2026","6.60","6.70","6.65","6.60","3.34M","-1.49%"
"02/12/2026","6.70","6.67","6.70","6.60","4.23M","0.45%"
"02/11/2026","6.67","7.00","6.67","6.66","3.19M","-4.71%"
"02/10/2026","7.00","6.50","7.00","6.58","4.44M","7.69%"
"02/09/2026","6.50","6.51","6.90","6.50","4.48M","-0.15%"
"02/06/2026","6.51","6.20","6.70","6.36","3.60M","5.00%"
"02/05/2026","6.20","6.60","6.24","6.20","3.46M","-6.06%"
"02/04/2026","6.60","6.60","6.60","6.55","3.88M","0.00%"
"02/03/2026","6.60","6.53","6.96","6.57","3.01M","1.07%"
"02/02/2026","6.53","7.00","6.90","6.30","4.64M","-6.71%"
"01/30/2026","7.00","7.00","7.00","6.70","2.63M","0.00%"
"01/29/2026","7.00","6.99","7.00","6.60","3.29M","0.14%"
"01/28/2026","6.99","6.90","7.31","6.93","3.63M","1.30%"
"01/27/2026","6.90","7.05","6.95","6.90","2.15M","-2.13%"
"01/26/2026","7.05","7.20","7.30","7.00","3.96M","-2.08%"
"01/23/2026","7.20","7.20","7.20","7.01","3.27M","0.00%"
"01/22/2026","7.20","7.20","7.49","7.05","6.29M","0.00%"
"01/21/2026","7.20","7.05","7.75","6.96","13.10M","2.13%"
"01/20/2026","7.05","7.70","7.36","7.05","7.45M","-8.44%"
"01/19/2026","7.70","7.35","7.73","7.40","5.66M","4.76%"
"01/16/2026","7.35","7.05","7.73","7.05","7.16M","4.26%"
"01/15/2026","7.05","7.78","7.60","7.01","7.00M","-9.38%"
"01/14/2026","7.78","7.39","7.78","7.39","9.57M","5.28%"
"01/13/2026","7.39","7.30","7.78","6.95","20.90M","1.23%"
"01/12/2026","7.30","6.66","7.32","7.00","14.97M","9.61%"
"01/09/2026","6.66","6.06","6.66","6.50","10.23M","9.90%"
"01/08/2026","6.06","6.01","6.60","6.06","4.99M","0.83%"
"01/07/2026","6.01","6.65","7.29","6.01","9.74M","-9.62%"
"01/06/2026","6.65","6.65","6.65","6.60","12.25M","9.92%"
"01/05/2026","6.05","5.50","6.05","6.05","4.70M","10.00%"
"01/02/2026","5.50","5.00","5.50","5.25","1.69M","10.00%"
"12/31/2025","5.00","4.90","5.00","4.90","1.57M","2.04%"
"12/30/2025","4.90","4.90","4.90","4.90","654.48K","0.00%"
"12/29/2025","4.90","5.10","5.10","4.90","2.52M","-3.92%"
"12/24/2025","5.10","5.10","5.10","5.10","562.83K","0.00%"
"12/23/2025","5.10","4.69","5.11","4.70","2.62M","8.74%"
"12/22/2025","4.69","4.42","4.69","4.55","1.74M","6.11%"
"12/19/2025","4.42","4.42","4.42","4.42","927.36K","0.00%"
"12/18/2025","4.42","4.50","4.55","4.42","2.71M","-1.78%"
"12/17/2025","4.50","4.50","4.50","4.50","1.05M","0.00%"
"12/16/2025","4.50","4.50","4.58","4.50","2.34M","0.00%"
"12/15/2025","4.50","4.90","4.90","4.50","2.96M","-8.16%"
"12/12/2025","4.90","4.95","4.90","4.90","1.57M","-1.01%"
"12/11/2025","4.95","4.96","5.00","4.95","1.37M","-0.20%"
"12/10/2025","4.96","4.91","4.96","4.90","1.31M","1.02%"
"12/09/2025","4.91","5.05","5.00","4.90","7.12M","-2.77%"
"12/08/2025","5.05","4.75","5.05","5.05","658.87K","6.32%"
"12/05/2025","4.75","4.98","4.77","4.75","1.62M","-4.62%"
"12/04/2025","4.98","4.65","5.00","4.98","1.85M","7.10%"
"12/03/2025","4.65","4.65","4.65","4.65","593.19K","0.00%"
"12/02/2025","4.65","4.90","4.90","4.65","720.04K","-5.10%"
"12/01/2025","4.90","4.90","5.00","4.90","2.50M","0.00%"
"11/28/2025","4.90","5.00","5.00","4.90","1.77M","-2.00%"
"11/27/2025","5.00","4.90","5.00","4.90","810.92K","2.04%"
"11/26/2025","4.90","5.00","5.00","4.90","2.34M","-2.00%"
"11/25/2025","5.00","5.00","5.00","4.90","1.25M","0.00%"
"11/24/2025","5.00","4.90","5.00","5.00","1.51M","2.04%"
"11/21/2025","4.90","4.90","4.90","4.90","590.04K","0.00%"
"11/20/2025","4.90","5.27","4.90","4.90","801.61K","-7.02%"
"11/19/2025","5.27","5.27","5.27","5.27","434.86K","0.00%"
"11/18/2025","5.27","5.27","5.27","5.27","867.81K","0.00%"
"11/17/2025","5.27","5.25","5.70","5.27","1.23M","0.38%"
"11/14/2025","5.25","5.00","5.25","5.25","1.36M","5.00%"
