"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","114.55","111.00","119.30","111.00","25.57M","3.20%"
"03/24/2026","111.00","105.00","112.30","100.00","184.38M","5.71%"
"03/23/2026","105.00","114.35","117.00","105.00","31.10M","-8.18%"
"03/18/2026","114.35","123.50","123.70","114.35","48.89M","-7.41%"
"03/17/2026","123.50","118.15","127.50","118.30","100.02M","4.53%"
"03/16/2026","118.15","117.50","118.15","117.50","28.90M","0.55%"
"03/13/2026","117.50","117.45","118.00","117.40","33.62M","0.04%"
"03/12/2026","117.45","118.00","117.45","117.00","13.56M","-0.47%"
"03/11/2026","118.00","117.00","118.70","117.00","11.08M","0.85%"
"03/10/2026","117.00","118.00","118.00","117.00","11.25M","-0.85%"
"03/09/2026","118.00","119.00","118.05","117.90","8.74M","-0.84%"
"03/06/2026","119.00","119.00","119.05","118.00","38.87M","0.00%"
"03/05/2026","119.00","119.00","119.05","119.00","45.47M","0.00%"
"03/04/2026","119.00","118.90","120.00","118.00","25.18M","0.08%"
"03/03/2026","118.90","117.95","119.00","116.00","26.29M","0.81%"
"03/02/2026","117.95","117.00","118.00","116.00","16.45M","0.81%"
"02/27/2026","117.00","117.10","117.00","116.50","11.60M","-0.09%"
"02/26/2026","117.10","118.00","117.30","117.00","18.22M","-0.76%"
"02/25/2026","118.00","120.00","120.00","117.45","31.54M","-1.67%"
"02/24/2026","120.00","120.00","121.00","120.00","28.06M","0.00%"
"02/23/2026","120.00","118.00","120.00","117.00","16.08M","1.69%"
"02/20/2026","118.00","117.00","118.45","117.00","11.38M","0.85%"
"02/19/2026","117.00","115.95","118.90","117.00","52.63M","0.91%"
"02/18/2026","115.95","117.20","116.50","115.95","9.33M","-1.07%"
"02/17/2026","117.20","120.00","121.50","117.20","33.70M","-2.33%"
"02/16/2026","120.00","112.00","122.95","113.00","47.40M","7.14%"
"02/13/2026","112.00","107.00","112.00","108.00","45.04M","4.67%"
"02/12/2026","107.00","106.00","107.20","105.00","40.78M","0.94%"
"02/11/2026","106.00","101.00","106.00","102.30","20.60M","4.95%"
"02/10/2026","101.00","100.20","101.50","100.55","45.61M","0.80%"
"02/09/2026","100.20","100.25","100.35","100.10","17.09M","-0.05%"
"02/06/2026","100.25","100.00","101.00","99.90","31.58M","0.25%"
"02/05/2026","100.00","99.80","100.00","99.95","6.48M","0.20%"
"02/04/2026","99.80","99.50","99.80","99.00","7.30M","0.30%"
"02/03/2026","99.50","98.80","99.50","98.50","65.90M","0.71%"
"02/02/2026","98.80","99.00","98.80","98.80","14.95M","-0.20%"
"01/30/2026","99.00","98.85","99.00","98.85","6.36M","0.15%"
"01/29/2026","98.85","99.00","98.90","98.80","26.03M","-0.15%"
"01/28/2026","99.00","98.50","99.00","98.50","21.90M","0.51%"
"01/27/2026","98.50","98.50","99.00","98.30","25.28M","0.00%"
"01/26/2026","98.50","98.50","98.60","98.50","31.56M","0.00%"
"01/23/2026","98.50","95.60","98.50","98.50","14.94M","3.03%"
"01/22/2026","95.60","94.95","95.60","94.05","9.73M","0.68%"
"01/21/2026","94.95","95.00","94.95","94.50","22.88M","-0.05%"
"01/20/2026","95.00","97.40","97.45","94.10","39.05M","-2.46%"
"01/19/2026","97.40","98.95","99.00","97.00","12.37M","-1.57%"
"01/16/2026","98.95","98.90","99.00","98.90","15.55M","0.05%"
"01/15/2026","98.90","99.00","99.00","98.80","20.66M","-0.10%"
"01/14/2026","99.00","99.50","99.75","99.00","8.11M","-0.50%"
"01/13/2026","99.50","99.45","99.95","99.00","19.48M","0.05%"
"01/12/2026","99.45","99.20","99.50","99.20","5.18M","0.25%"
"01/09/2026","99.20","99.00","99.50","99.00","10.80M","0.20%"
"01/08/2026","99.00","99.00","99.00","98.00","10.23M","0.00%"
"01/07/2026","99.00","99.95","99.00","97.90","11.26M","-0.95%"
"01/06/2026","99.95","97.00","100.05","99.05","20.37M","3.04%"
"01/05/2026","97.00","92.30","98.80","93.00","8.50M","5.09%"
"01/02/2026","92.30","90.70","92.30","90.70","8.13M","1.76%"
"12/31/2025","90.70","91.00","91.00","90.00","10.37M","-0.33%"
