"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","4.70","4.66","4.90","4.70","2.98M","0.86%"
"03/24/2026","4.66","4.56","5.00","4.60","25.50M","2.19%"
"03/23/2026","4.56","4.55","4.84","4.50","15.65M","0.22%"
"03/18/2026","4.55","4.50","4.80","4.30","14.85M","1.11%"
"03/17/2026","4.50","4.59","4.68","4.50","12.56M","-1.96%"
"03/16/2026","4.59","4.85","4.85","4.50","17.48M","-0.22%"
"03/13/2026","4.60","4.60","4.85","4.50","9.44M","0.00%"
"03/12/2026","4.60","4.60","4.86","4.50","22.26M","0.00%"
"03/11/2026","4.60","4.75","4.99","4.50","38.49M","0.22%"
"03/10/2026","4.59","5.10","5.05","4.59","52.68M","-10.00%"
"03/09/2026","5.10","5.20","5.22","5.00","14.02M","-1.92%"
"03/06/2026","5.20","5.22","5.28","5.17","7.87M","-0.38%"
"03/05/2026","5.22","5.10","5.30","5.10","10.53M","2.35%"
"03/04/2026","5.10","5.10","5.20","5.05","12.47M","0.00%"
"03/03/2026","5.10","4.90","5.15","4.90","13.35M","4.08%"
"03/02/2026","4.90","4.75","5.22","4.75","22.80M","3.16%"
"02/27/2026","4.75","4.75","4.80","4.70","18.86M","0.00%"
"02/26/2026","4.75","5.01","5.01","4.67","23.91M","-5.19%"
"02/25/2026","5.01","5.18","5.15","4.67","24.72M","-3.28%"
"02/24/2026","5.18","5.75","5.90","5.18","32.35M","-9.91%"
"02/23/2026","5.75","5.42","5.95","5.42","42.45M","6.09%"
"02/20/2026","5.42","5.42","5.42","5.20","79.02M","9.94%"
"02/19/2026","4.93","4.49","4.93","4.43","58.68M","9.80%"
"02/18/2026","4.49","4.40","4.49","4.34","37.59M","2.28%"
"02/17/2026","4.39","4.39","4.40","4.31","36.88M","0.00%"
"02/16/2026","4.39","4.30","4.44","4.20","67.10M","2.09%"
"02/13/2026","4.30","4.33","4.33","4.11","11.91M","-0.69%"
"02/12/2026","4.33","4.22","4.34","4.20","13.84M","2.61%"
"02/11/2026","4.22","4.20","4.42","4.22","12.74M","0.48%"
"02/10/2026","4.20","4.28","4.34","4.20","19.63M","-1.87%"
"02/09/2026","4.28","4.38","4.40","4.14","33.89M","-2.28%"
"02/06/2026","4.38","4.05","4.44","4.11","10.93M","8.15%"
"02/05/2026","4.05","4.03","4.43","4.03","19.48M","0.50%"
"02/04/2026","4.03","4.20","4.40","4.03","13.96M","-4.05%"
"02/03/2026","4.20","4.48","4.49","4.20","7.83M","-6.25%"
"02/02/2026","4.48","4.18","4.49","4.20","24.69M","7.18%"
"01/30/2026","4.18","4.26","4.26","4.15","12.30M","0.00%"
"01/29/2026","4.18","4.30","4.30","4.18","9.55M","-2.79%"
"01/28/2026","4.30","4.20","4.30","4.10","9.24M","2.63%"
"01/27/2026","4.19","4.17","4.25","4.10","3.66M","0.48%"
"01/26/2026","4.17","4.20","4.40","4.15","14.86M","-0.71%"
"01/23/2026","4.20","4.20","4.40","4.20","4.64M","0.00%"
"01/22/2026","4.20","4.25","4.51","4.15","16.12M","-1.18%"
"01/21/2026","4.25","4.18","4.35","4.19","7.50M","1.67%"
"01/20/2026","4.18","4.29","4.35","4.00","12.63M","-2.56%"
"01/19/2026","4.29","4.29","4.40","4.20","10.90M","0.00%"
"01/16/2026","4.29","4.24","4.40","4.15","8.77M","1.18%"
"01/15/2026","4.24","4.38","4.40","4.18","13.86M","-3.20%"
"01/14/2026","4.38","4.10","4.40","4.09","11.33M","6.83%"
"01/13/2026","4.10","4.10","4.19","4.00","11.62M","0.00%"
"01/12/2026","4.10","3.98","4.20","4.00","31.49M","3.02%"
"01/09/2026","3.98","4.10","4.20","3.71","12.91M","-2.93%"
"01/08/2026","4.10","4.14","4.24","3.80","12.89M","-0.97%"
"01/07/2026","4.14","4.12","4.47","3.75","24.48M","0.49%"
"01/06/2026","4.12","4.00","4.12","3.86","34.68M","9.87%"
"01/05/2026","3.75","3.41","3.75","3.75","13.97M","9.97%"
"01/02/2026","3.41","3.10","3.41","3.13","6.54M","10.00%"
"12/31/2025","3.10","3.10","3.39","3.10","7.25M","0.00%"
"12/30/2025","3.10","3.35","3.26","3.10","14.90M","-7.46%"
"12/29/2025","3.35","3.22","3.48","3.22","4.94M","5.02%"
"12/24/2025","3.19","3.17","3.20","3.17","2.46M","0.63%"
"12/23/2025","3.17","3.10","3.19","3.00","8.18M","2.26%"
"12/22/2025","3.10","3.18","3.27","3.10","13.54M","-2.52%"
"12/19/2025","3.18","3.20","3.28","3.18","2.36M","-0.62%"
"12/18/2025","3.20","3.23","3.50","3.00","13.07M","-0.93%"
"12/17/2025","3.23","3.21","3.39","3.20","2.73M","0.62%"
"12/16/2025","3.21","3.19","3.34","3.21","6.08M","0.63%"
"12/15/2025","3.19","3.17","3.20","3.18","2.66M","0.63%"
"12/12/2025","3.17","3.16","3.20","3.17","1.67M","0.32%"
"12/11/2025","3.16","3.18","3.31","3.16","1.74M","-0.63%"
"12/10/2025","3.18","3.23","3.21","3.10","3.67M","-1.55%"
"12/09/2025","3.23","3.23","3.30","3.20","2.83M","0.00%"
"12/08/2025","3.23","3.20","3.28","3.10","7.44M","0.94%"
"12/05/2025","3.20","3.08","3.28","3.20","4.60M","3.90%"
"12/04/2025","3.08","3.18","3.23","3.06","6.83M","-3.14%"
"12/03/2025","3.18","3.21","3.28","3.05","6.43M","-0.93%"
"12/02/2025","3.21","3.28","3.29","3.02","3.64M","-2.13%"
"12/01/2025","3.28","3.27","3.38","3.00","11.79M","0.31%"
"11/28/2025","3.27","3.12","3.33","3.00","11.18M","4.81%"
"11/27/2025","3.12","3.10","3.25","3.12","4.45M","0.65%"
"11/26/2025","3.10","3.35","3.48","3.10","4.65M","-7.46%"
"11/25/2025","3.35","3.30","3.42","3.20","3.54M","1.52%"
"11/24/2025","3.30","3.30","3.30","3.25","1.85M","0.00%"
"11/21/2025","3.30","3.40","3.30","3.18","23.63M","-2.94%"
"11/20/2025","3.40","3.64","3.40","3.40","1.24M","-6.59%"
"11/19/2025","3.64","3.38","3.64","3.36","4.03M","7.69%"
"11/18/2025","3.38","3.55","3.60","3.38","2.26M","-4.79%"
"11/17/2025","3.55","3.50","3.80","3.30","7.44M","1.43%"
"11/14/2025","3.50","3.65","3.84","3.30","9.76M","-4.11%"
"11/13/2025","3.65","3.60","3.67","3.54","11.26M","9.28%"
"11/12/2025","3.34","3.05","3.34","3.04","19.86M","9.87%"
"11/11/2025","3.04","3.37","3.35","3.04","6.16M","-9.79%"
